fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,Ticker,Symbol,Implied_Move,Actual_Move
2023-12-31,2023-12-31,0.61,0.64,-0.03,-4.6875,JNPR,JNPR,0.017,-0.0059
2023-09-30,2023-09-30,0.6,0.55,0.05,9.0909,JNPR,JNPR,0.017,-0.0059
2023-06-30,2023-06-30,0.58,0.55,0.03,5.4545,JNPR,JNPR,0.017,-0.0059
2023-03-31,2023-03-31,0.48,0.43,0.05,11.6279,JNPR,JNPR,0.017,-0.0059
2023-12-31,2023-12-31,0.64,0.6,0.04,6.6667,SO,SO,0.0213,-0.0153
2023-09-30,2023-09-30,1.42,1.32,0.1,7.5758,SO,SO,0.0213,-0.0153
2023-06-30,2023-06-30,0.79,0.75,0.04,5.3333,SO,SO,0.0213,-0.0153
2023-03-31,2023-03-31,0.79,0.71,0.08,11.2676,SO,SO,0.0213,-0.0153
2023-12-31,2023-12-31,1.82,1.69,0.13,7.6923,CLH,CLH,0.073,-0.0412
2023-09-30,2023-09-30,1.68,2.1,-0.42,-20.0,CLH,CLH,0.073,-0.0412
2023-06-30,2023-06-30,2.13,2.1,0.03,1.4286,CLH,CLH,0.073,-0.0412
2023-03-31,2023-03-31,1.36,1.17,0.19,16.2393,CLH,CLH,0.073,-0.0412
2023-12-31,2023-12-31,1.44,1.35,0.09,6.6667,CHH,CHH,0.0589,0.0203
2023-09-30,2023-09-30,1.82,1.85,-0.03,-1.6216,CHH,CHH,0.0589,0.0203
2023-06-30,2023-06-30,1.75,1.69,0.06,3.5503,CHH,CHH,0.0589,0.0203
2023-03-31,2023-03-31,1.12,1.01,0.11,10.8911,CHH,CHH,0.0589,0.0203
2023-12-31,2023-12-31,-0.08,-0.13,0.05,38.4615,VERU,VERU,0.238,-0.0657
2023-09-30,2023-09-30,-0.12,-0.23,0.11,47.8261,VERU,VERU,0.238,-0.0657
2023-06-30,2023-06-30,-0.13,-0.2,0.07,35.0,VERU,VERU,0.238,-0.0657
2023-03-31,2023-03-31,-0.48,-0.33,-0.15,-45.4545,VERU,VERU,0.238,-0.0657
2023-12-31,2023-12-31,0.55,0.32,0.23,71.875,ALNT,ALNT,0.0964,-0.1002
2023-09-30,2023-09-30,0.61,0.55,0.06,10.9091,ALNT,ALNT,0.0964,-0.1002
2023-06-30,2023-06-30,0.58,0.56,0.02,3.5714,ALNT,ALNT,0.0964,-0.1002
2023-03-31,2023-03-31,0.55,0.46,0.09,19.5652,ALNT,ALNT,0.0964,-0.1002
2023-12-31,2023-12-31,1.61,1.65,-0.04,-2.4242,NOG,NOG,0.0723,-0.0201
2023-09-30,2023-09-30,1.73,1.78,-0.05,-2.809,NOG,NOG,0.0723,-0.0201
2023-06-30,2023-06-30,1.49,1.35,0.14,10.3704,NOG,NOG,0.0723,-0.0201
2023-03-31,2023-03-31,1.76,1.69,0.07,4.142,NOG,NOG,0.0723,-0.0201
2023-12-31,2023-12-31,1.72,1.6,0.12,7.5,TROW,TROW,0.0543,-0.0075
2023-09-30,2023-09-30,2.17,1.78,0.39,21.9101,TROW,TROW,0.0543,-0.0075
2023-06-30,2023-06-30,2.02,1.73,0.29,16.763,TROW,TROW,0.0543,-0.0075
2023-03-31,2023-03-31,1.69,1.64,0.05,3.0488,TROW,TROW,0.0543,-0.0075
2023-12-31,2023-12-31,5.32,2.06,3.26,158.2524,LI,LI,0.072,-0.0434
2023-09-30,2023-09-30,1.34,2.19,-0.85,-38.8128,LI,LI,0.072,-0.0434
2023-06-30,2023-06-30,2.18,0.88,1.3,147.7273,LI,LI,0.072,-0.0434
2023-03-31,2023-03-31,0.9,0.06,0.84,1400.0,LI,LI,0.072,-0.0434
2023-09-30,2023-09-30,1.65,1.7,-0.05,-2.9412,ESLT,ESLT,0.0577,-0.0219
2023-06-30,2023-06-30,1.57,1.53,0.04,2.6144,ESLT,ESLT,0.0577,-0.0219
2023-03-31,2023-03-31,1.7,1.73,-0.03,-1.7341,ESLT,ESLT,0.0577,-0.0219
2023-12-31,2023-12-31,-0.19,-0.25,0.06,24.0,SE,SE,0.1837,-0.2207
2023-09-30,2023-09-30,-0.26,0.03,-0.29,-966.6667,SE,SE,0.1837,-0.2207
2023-06-30,2023-06-30,0.54,0.42,0.12,28.5714,SE,SE,0.1837,-0.2207
2023-03-31,2023-03-31,0.15,0.44,-0.29,-65.9091,SE,SE,0.1837,-0.2207
