Symbol,Name,Current Price,% Change,Avg Stock Volume,Avg Option Volume,Date,Implied_Move,Actual_Move,Straddle Return,Avg Straddle Return,Max Return,Min Return,InWatchlist,EtfHoldingsList,MarketCap
EDSA,Edesa Biotech - Common Shares,4.83,0.0343,80026,,2/9/2024,,,,,,,0,,15314848
ASYS,Amtech Systems,3.44,-0.1527,93839,143,2/9/2024,0.121,0.0523,,0.791,0.9241,0.7153,0,,48816972
FTS,Fortis Common Shares,39.06,0.0031,797151,150,2/9/2024,0.0347,0.0031,-0.0459,0.1247,0.8084,-0.4825,0,,19080810496
CTLT,Catalent,56.71,0.0028,2497920,2186,2/9/2024,0.0397,0.0028,-0.452,0.1496,0.5174,-0.3961,0,SPY - XLV,10244167680
NWL,Newell Brands,6.85,-0.1893,4255129,1956,2/9/2024,0.0976,-0.1893,0.9235,-0.1984,-0.0296,-0.457,0,,2837270016
INBS,Intelligent Bio Solutions,6.765,1.349,6891590,,2/9/2024,,1.349,,,,,0,,4924006
TMQ,Trilogy Metals,0.4722,-0.0284,217769,25,2/9/2024,0.0955,-0.0274,,,,,0,,73608336
CGC,Canopy Gwth,4.02,-0.0219,17907113,17651,2/9/2024,0.1226,-0.0219,-0.838,-0.0329,0.866,-0.4406,0,,366088864
WPC,W.P. Carey,57.38,-0.0647,1898214,1046,2/9/2024,0.0419,-0.0647,0.5984,0.1661,0.3847,-0.0761,0,VNQ - IYR,12273650688
EVI,Evi Industries,22.3,0.0529,18312,,2/9/2024,,0.0529,,,,,0,IWM,311585632
TU,Telus,17.56,0.0293,1974626,281,2/9/2024,0.0303,0.0293,-0.2218,-0.2149,0.0572,-0.3976,0,,25409320960
MGA,Magna International,54.69,-0.068,1039299,425,2/9/2024,0.0596,-0.068,0.0568,0.5599,2.0822,-0.1993,0,,15661105152
TIXT,Telus Intl,9.4,0.0251,239807,166,2/9/2024,0.0809,0.0251,-0.2705,-0.1276,-0.0512,-0.2177,0,,2569881088
COOP,Mr. Cooper Group,71.97,0.0542,502132,676,2/9/2024,0.0541,0.0542,0.0825,-0.0142,0.4153,-0.3861,0,KBE - IWM,4649262080
ESNT,Essent Group Ltd. Common Shares,51.75,-0.0219,432632,82,2/9/2024,0.0508,-0.0219,-0.1494,-0.112,0.108,-0.2373,0,KBE - IWM,5524830208
ROAD,Construction Partners,46.81,-0.0703,331472,25,2/9/2024,0.0898,-0.0703,-0.1187,0.3082,0.9479,-0.3869,0,IWM,2472849152
MXC,Mexco Energy,9.8,-0.0151,2857,,2/9/2024,,-0.0151,,,,,0,,20624100
MPAA,Motorcar Parts Of America,8.6,-0.1023,76804,43,2/9/2024,0.0844,-0.1023,3.9116,0.1152,0.3179,-0.2821,0,,168520096
ENB,Enbridge,34.23,-0.0035,5400258,2913,2/9/2024,0.0427,-0.0035,-0.1163,0.0142,0.2112,-0.0989,0,,72758394880
UI,Ubiquiti,117.3,-0.0773,101459,,2/9/2024,,-0.0773,,-0.0123,0.1342,-0.1638,0,,7087073792
AMCX,Amc Networks - Class A,14.41,-0.1543,399593,209,2/9/2024,0.1243,-0.1543,0.8004,0.6004,2.2781,-0.1214,0,IWM,626893696
EMBC,Embecta Corp.,16.255,-0.0847,467677,45,2/9/2024,0.0503,-0.0847,0.6247,0.3178,1.505,-0.3755,0,IWM,935865984
PAA,Plains All American Pipeline LP - Common Units Representing Limited Partner Interests,15.4,0.0033,3314427,2834,2/9/2024,0.0283,0.0033,-0.6795,0.2503,1.78,-0.562,0,AMLP,10795284480
PAGP,Plains Gp Holdings LP - Class A Shares Representing Limited Partner Interests,16.21,0.0087,2284154,2534,2/9/2024,0.0295,0.0087,-0.283,0.001,0.1723,-0.1701,0,,3183405568
OWL,Blue Owl Capital Class A,17.47,0.0659,4523354,648,2/9/2024,0.0509,0.0659,0.4493,-0.1544,0.0395,-0.3639,0,,7961927680
